id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster
605,18,0,144275,69,9,27,1,141.72,1
606,39,1,48641,45,3,46,3,415.19,3
607,30,1,102200,88,5,47,3,131.84,3
608,41,2,67215,34,3,30,3,460.25,0
609,53,2,96499,29,4,5,1,744.11,0
610,23,0,83912,28,6,31,3,98.32,1
611,42,0,63444,72,4,40,3,166.45,3
612,33,0,38271,39,10,43,1,99.52,3
613,60,2,53295,73,3,5,3,642.3,0
614,64,0,116106,5,1,5,0,25.86,1
615,69,1,141965,98,5,35,1,616.66,2
616,43,1,38012,55,3,24,2,943.37,0
617,29,2,83172,51,8,1,0,906.75,0
618,53,2,62024,13,2,39,4,66.6,1
619,29,2,88288,39,5,50,2,803.87,2
620,53,2,50215,92,6,48,4,814.52,2
621,20,1,122028,40,3,6,1,777.44,0
622,33,2,102269,26,8,47,4,356.67,1
623,30,0,97829,99,4,27,0,320.95,3
624,59,2,66196,37,9,44,0,483.66,2
625,41,1,36763,50,5,36,3,490.62,3
626,19,1,138008,8,9,15,2,116.8,1
627,27,0,96762,22,3,10,1,551.43,1
628,39,2,108744,63,2,23,4,411.86,1
629,65,1,84223,83,7,46,2,971.93,2
630,64,0,145746,76,2,48,3,49.06,1
631,47,0,108766,37,7,38,2,640.55,2
632,29,0,72125,41,5,31,4,507.62,0
633,43,0,97989,14,6,49,1,886.61,0
634,51,2,143678,50,8,23,1,916.04,2
635,23,0,122669,15,3,4,1,248.68,1
636,24,0,93266,20,1,4,0,636.29,0
637,52,2,85267,6,5,2,3,704.32,0
638,34,0,60489,95,3,38,3,304.86,3
639,68,1,57700,70,8,46,2,178.21,3
640,57,1,97035,28,6,42,3,741.41,2
641,59,2,141667,28,4,5,4,204.25,1
642,34,0,114408,38,7,28,1,647.35,2
643,64,0,92888,2,7,50,4,84.98,1
644,54,1,132403,83,3,2,4,45.2,1
645,67,2,115578,10,1,36,2,646.16,0
646,62,1,113856,78,6,50,1,720.47,2
647,24,2,122371,11,2,4,1,838.19,0
648,43,0,67979,49,2,6,2,420.03,0
649,27,1,147360,96,3,26,4,26.1,1
650,47,2,88268,32,8,27,2,686.5,0
651,27,0,113174,36,3,46,1,499.07,1
652,32,2,95862,34,6,41,1,65.15,1
653,41,1,140959,35,7,14,3,232.42,1
654,48,1,82356,97,1,35,4,204.55,3
655,45,2,47989,70,6,9,2,218.77,3
656,33,2,65142,45,10,42,0,132.6,3
657,27,1,81110,44,6,8,1,654.05,0
658,61,1,145578,79,2,34,0,762.06,2
659,35,2,116378,38,10,11,0,79.27,1
660,54,0,89035,14,4,11,4,138.81,1
661,69,0,34122,50,4,27,4,758.44,0
662,66,2,38652,40,10,7,3,566.59,0
663,30,0,76658,70,3,32,2,760.27,0
664,56,2,30492,47,5,6,2,725.26,0
665,37,1,105623,26,5,47,3,94.79,1
666,31,2,85972,62,9,25,4,914.63,2
667,29,0,135394,53,9,36,0,30.13,1
668,27,0,48576,29,7,29,4,976.83,0
669,52,1,87717,79,6,44,0,95.17,3
670,55,2,59108,36,6,31,3,900.16,0
671,34,1,54274,27,2,17,3,954.46,0
672,30,1,94803,76,6,33,3,596.98,2
673,47,0,40790,36,1,4,0,913.84,0
674,32,2,41072,14,5,39,1,981.04,0
675,64,0,67704,12,6,17,3,126.15,1
676,64,0,48169,39,5,33,2,451.86,0
677,51,0,146159,99,7,38,2,808.89,2
678,63,2,56374,60,4,45,3,943.5,0
679,46,0,112770,6,10,27,4,559.73,1
680,36,2,106345,98,7,49,0,55.21,3
681,49,2,115974,95,8,22,1,143.0,3
682,61,1,136973,27,7,2,1,269.2,1
683,27,0,89855,54,10,37,3,750.51,2
684,42,1,56378,8,9,18,0,880.45,0
685,37,1,104041,64,9,49,3,117.52,1
686,30,1,115674,78,2,48,0,621.73,2
687,59,1,65196,22,2,36,3,625.33,0
688,30,1,94970,15,4,11,4,250.07,1
689,69,2,45024,38,5,11,0,830.03,0
690,39,0,141586,50,4,46,0,659.67,2
691,53,2,84686,93,8,1,2,109.54,3
692,23,1,57558,28,6,23,1,800.78,0
693,28,0,142450,80,3,22,2,471.87,2
694,64,1,32144,76,2,28,4,902.66,0
695,45,1,53474,79,8,21,1,40.32,3
696,61,1,89720,4,9,8,2,795.49,0
697,36,0,114281,99,7,6,4,217.78,3
698,33,2,36577,28,4,1,1,612.54,0
699,55,2,53164,64,2,19,0,932.41,0
700,31,1,33604,8,5,2,1,984.15,0
701,31,1,148121,34,9,32,2,753.49,2
702,26,0,42499,92,9,50,1,37.57,3
703,26,0,56466,61,3,12,3,358.22,3
704,52,0,58805,14,2,47,4,104.35,1
705,42,1,49140,23,9,35,0,400.23,0
706,29,0,102972,68,3,39,0,258.09,1
707,47,0,128439,42,5,22,4,219.02,1
708,68,1,47482,100,9,49,0,170.56,3
709,44,0,118123,40,8,31,0,140.52,1
710,43,0,43545,67,5,41,1,179.71,3
711,43,2,51398,12,4,26,4,117.85,1
712,18,1,141318,37,6,28,3,428.33,1
713,19,0,76416,26,6,20,1,385.1,1
714,30,1,100115,54,2,36,4,789.67,2
715,43,2,67912,71,10,35,1,698.03,2
716,48,0,74273,23,10,46,4,626.27,2
717,47,1,136278,76,10,48,0,233.64,2
718,57,0,108833,77,3,37,3,623.78,2
719,21,0,119226,21,8,50,4,772.63,2
720,69,2,72651,58,5,30,1,103.11,3
721,27,1,114848,66,10,38,2,912.58,2
722,45,1,127989,99,1,42,3,683.99,2
723,20,1,48504,27,3,28,2,658.54,0
724,21,2,114762,28,3,7,4,397.54,1
725,48,0,108563,3,8,39,0,15.72,1
726,40,2,105994,39,9,17,3,347.21,1
727,18,2,84764,2,6,49,3,348.51,1
728,28,2,53503,39,5,30,2,591.64,0
729,50,1,86985,77,8,11,4,964.1,2
730,19,1,85349,77,8,29,3,381.04,3
731,53,0,52855,12,5,33,2,444.09,0
732,29,2,66264,85,2,8,1,743.3,3
733,49,1,56707,6,8,29,1,604.53,0
734,23,2,66886,7,6,40,1,322.64,1
735,38,2,115537,10,7,25,0,632.99,1
736,52,0,130875,76,10,14,0,979.39,2
737,28,1,104971,74,4,10,0,297.17,1
738,18,0,136320,52,5,42,1,891.19,2
739,61,1,113380,27,2,17,1,177.5,1
740,62,0,119083,18,4,28,1,317.78,1
741,50,0,50944,24,3,36,1,121.22,1
742,45,2,30738,38,7,5,3,144.0,3
743,64,1,132277,81,5,30,4,505.24,2
744,56,1,90816,20,10,35,1,808.16,2
745,30,0,64288,93,9,43,2,825.85,2
746,60,1,34657,99,10,3,1,983.3,3
747,26,1,44725,40,10,17,2,307.42,3
748,57,0,58696,69,4,29,2,570.87,3
749,22,1,73023,30,1,19,3,661.7,0
750,41,2,74985,68,8,21,1,123.96,3
751,63,1,37201,60,6,46,2,90.96,3
752,31,1,85928,10,2,40,3,34.1,1
753,28,2,129367,4,1,44,1,559.61,1
754,52,1,49342,77,7,29,2,622.86,3
755,61,1,59583,11,8,27,0,744.56,0
756,30,0,111050,61,10,32,1,213.88,1
757,19,0,129687,78,3,43,3,679.67,2
758,35,1,94896,36,6,4,3,102.23,1
759,64,2,130443,29,1,17,3,835.67,0
760,27,1,80545,63,6,46,4,575.98,2
761,47,1,112510,1,2,10,3,618.2,0
762,57,1,145190,42,9,8,4,971.83,2
763,63,1,115204,12,2,19,3,910.59,0
764,61,0,116123,96,2,27,4,844.95,2
765,40,2,108344,87,2,13,1,892.28,2
766,41,2,74198,84,1,50,0,60.51,3
767,45,2,62582,1,6,46,0,298.11,1
768,33,2,92798,80,3,44,2,367.85,3
769,19,1,85583,61,5,43,4,316.35,3
770,61,1,32692,18,8,28,2,709.33,0
771,55,2,53069,3,10,43,0,777.97,0
772,26,0,79842,78,9,5,0,557.41,3
773,51,0,70099,42,7,12,2,481.56,0
774,52,1,52167,19,5,50,3,961.55,0
775,24,1,51225,21,6,31,4,235.64,1
776,31,0,123947,25,2,39,2,355.67,1
777,19,2,45781,93,6,43,4,412.99,3
778,46,0,78023,83,7,28,4,270.15,3
779,56,2,43031,56,2,15,1,830.79,0
780,65,2,80686,2,8,30,4,491.8,0
781,53,1,147355,10,2,38,3,866.3,2
782,22,1,118840,32,9,9,1,819.14,2
783,39,2,71987,42,5,35,0,196.61,1
784,47,2,64229,74,5,22,2,438.95,3
785,45,0,88366,22,10,24,1,253.64,1
786,30,1,43192,61,1,27,4,614.39,0
787,57,2,56547,65,10,43,2,686.83,2
788,33,1,38558,71,8,22,3,223.73,3
789,25,0,52575,77,5,13,0,112.22,3
790,61,1,96409,66,1,32,4,674.93,2
791,59,0,97756,89,6,3,3,318.74,3
792,18,2,140475,38,8,7,4,442.42,1
793,63,0,123481,26,1,26,3,386.51,1
794,50,1,103921,58,2,3,1,687.32,0
795,33,0,45432,11,4,42,1,990.34,0
796,47,1,92114,17,7,8,3,997.15,0
797,47,1,86651,54,3,49,3,678.41,2
798,68,2,44597,3,1,36,4,743.73,0
799,25,1,107042,27,1,32,0,648.79,0
800,35,2,114874,40,3,15,4,333.55,1
801,61,2,69791,33,8,1,4,165.39,1
802,51,1,107033,96,3,42,2,992.17,2
803,64,1,127745,72,2,11,2,192.17,1
804,59,0,58656,47,6,6,2,246.07,3
805,51,0,97660,3,7,30,4,145.66,1
806,49,1,69864,92,10,25,2,522.78,3
807,24,1,68172,6,1,28,0,445.3,0
808,33,1,127302,43,1,40,2,785.52,2
809,46,2,91845,35,8,49,1,537.23,2
810,35,1,83547,27,7,40,1,570.08,0
811,27,0,78001,50,5,17,3,117.03,1
812,53,2,76842,73,6,35,3,701.61,2
813,19,1,68304,9,10,28,4,864.57,0
814,56,2,145028,2,10,32,3,849.56,2
815,53,0,58486,87,8,23,3,409.35,3
816,50,2,143612,71,9,28,2,372.69,2
817,37,0,115734,87,2,50,2,646.4,2
818,69,1,129445,32,3,6,3,42.19,1
819,46,2,58692,2,9,22,3,230.66,1
820,52,2,73723,69,10,19,4,321.92,3
821,41,2,37547,72,3,24,2,897.46,0
822,26,0,34901,31,7,9,2,667.8,0
823,69,1,85068,54,6,24,4,846.68,0
824,38,0,81244,57,5,3,3,301.59,3
825,30,0,121358,16,1,2,1,122.7,1
826,48,1,111795,41,9,17,2,116.19,1
827,62,2,88975,58,6,24,4,921.21,2
828,34,1,43316,72,7,13,1,274.88,3
829,37,1,112949,33,8,40,3,424.07,1
830,28,1,136418,17,5,17,3,765.53,1
831,43,0,76811,26,1,33,3,836.5,0
832,69,2,81964,22,1,3,3,839.2,0
833,43,0,85487,71,7,49,4,625.26,2
834,38,1,101111,98,8,35,0,738.01,2
835,41,0,68147,75,2,33,2,553.35,3
836,30,2,42089,29,3,3,3,536.52,0
837,69,0,106629,4,7,9,2,443.22,1
838,57,1,98928,80,3,33,1,934.98,2
839,43,1,90687,9,5,24,4,531.25,0
840,58,0,68764,96,6,31,2,723.66,2
841,40,1,125996,64,6,15,0,583.95,2
842,33,0,96916,23,6,12,4,373.49,1
843,50,2,149578,28,2,39,3,839.34,2
844,43,1,140638,62,10,18,3,78.52,1
845,45,0,57615,30,5,15,1,998.09,0
846,60,2,61376,97,8,9,1,793.84,3
847,22,1,134801,47,1,49,2,292.92,1
848,60,2,111784,31,1,14,0,122.12,1
849,56,0,86142,87,7,8,4,291.96,3
850,48,0,126398,19,1,18,0,311.08,1
851,51,2,59566,25,5,22,2,847.03,0
852,64,0,63123,88,1,16,2,330.95,3
853,22,2,120644,75,1,4,0,456.11,1
854,27,0,40595,84,6,15,2,268.76,3
855,18,1,30102,35,2,6,4,739.27,0
856,45,2,135627,67,2,46,2,524.16,2
857,19,0,90561,75,10,23,3,866.23,2
858,67,1,115470,56,4,6,0,151.74,1
859,22,1,62752,2,10,22,1,469.36,0
860,22,1,46866,3,7,46,1,737.44,0
861,21,2,145884,3,4,25,3,676.93,1
862,20,1,79899,64,7,46,0,129.9,3
863,42,2,77292,73,10,43,2,787.66,2
864,41,1,92371,28,10,48,1,594.96,2
865,57,2,106632,26,1,17,2,610.98,0
866,22,1,48068,57,2,24,1,683.02,0
867,68,2,35122,72,6,33,4,983.84,0
868,51,2,83467,83,1,19,0,30.88,3
869,49,0,61376,47,5,16,3,241.25,3
870,57,2,112212,6,6,44,3,312.64,1
871,57,0,128481,86,10,40,3,727.15,2
872,63,1,33546,18,9,31,4,191.8,3
873,42,0,127546,54,1,31,0,484.72,1
874,35,1,121037,70,1,28,2,304.08,1
875,25,0,76606,99,10,32,3,472.4,3
876,60,2,120195,68,9,26,4,600.21,2
877,51,0,127950,27,3,45,3,412.76,1
878,45,0,51646,61,5,41,3,246.41,3
879,51,1,80995,68,1,18,4,863.54,0
880,59,2,97355,63,2,22,2,329.18,1
881,47,0,133264,93,2,21,2,11.01,1
882,61,1,49557,22,6,12,0,678.13,0
883,62,2,97909,100,1,5,3,439.63,3
884,50,0,59695,70,5,6,0,241.99,3
885,58,2,149723,70,9,23,1,374.59,2
886,26,2,113532,70,7,28,4,679.69,2
887,60,1,98882,38,2,28,2,940.14,0
888,29,1,149973,2,2,19,2,437.1,1
889,33,2,146269,92,6,10,4,486.86,2
890,60,2,73059,77,3,31,0,581.15,3
891,22,2,87909,19,7,39,4,20.52,1
892,66,2,40932,5,1,48,4,546.06,0
893,24,0,60763,92,5,29,3,320.7,3
894,63,2,119492,25,8,40,4,758.1,2
895,27,1,128640,3,5,2,3,140.52,1
896,53,1,137307,34,1,26,4,952.12,2
897,32,1,81701,96,9,49,1,77.45,3
898,64,2,82140,57,3,7,3,97.97,1
899,48,1,134463,32,2,7,1,535.1,1
900,52,0,41544,1,10,46,3,720.52,0
901,57,0,135440,46,8,3,3,442.46,1
902,55,0,72193,39,2,6,3,207.44,1
903,33,2,106771,23,7,3,4,609.8,1
904,64,0,122557,87,2,5,2,344.59,1
905,64,1,139658,77,6,26,4,71.97,1
906,25,1,130604,100,4,41,1,355.45,2
907,62,2,113706,19,1,13,3,427.68,1
908,59,2,141567,27,8,30,4,95.96,1
909,27,0,89618,49,8,12,2,831.05,0
910,55,2,45562,68,3,30,2,628.34,0
911,66,0,55154,93,3,19,1,684.88,3
912,54,1,69676,9,7,30,0,932.68,0
913,38,1,45551,100,10,22,1,99.63,3
914,55,1,109314,72,10,47,1,438.97,2
915,18,2,69502,83,6,32,4,236.83,3
916,26,1,131020,23,7,22,2,844.88,2
917,49,2,30523,83,4,38,1,564.48,3
918,36,0,45458,74,6,19,2,135.23,3
919,28,2,57107,82,5,2,3,271.17,3
920,60,2,44555,84,7,28,1,678.42,3
921,66,1,122436,73,7,47,3,666.62,2
922,58,1,105157,51,3,27,0,344.39,1
923,68,1,107702,73,4,2,4,136.03,1
924,20,1,88778,56,2,28,2,240.93,1
925,53,2,32539,22,6,42,3,536.06,0
926,39,0,53091,41,9,3,2,12.45,3
927,46,2,46368,11,7,17,3,869.05,0
928,28,1,134592,43,10,25,0,557.04,2
929,35,1,48768,43,2,5,1,746.74,0
930,42,2,128064,8,8,44,2,316.5,1
931,59,1,48329,6,8,26,3,36.76,1
932,31,2,30969,32,9,11,4,562.47,0
933,18,1,117893,84,3,24,1,413.27,1
934,47,1,138152,53,2,38,2,129.08,1
935,48,2,129592,2,3,26,0,748.46,0
936,51,1,148784,17,1,50,3,302.81,1
937,43,0,42201,76,1,50,3,106.48,3
938,64,2,65498,23,5,24,0,351.94,0
939,37,1,70213,84,3,37,3,785.53,2
940,56,0,51736,3,9,25,3,666.01,0
941,54,1,33706,64,9,1,0,371.93,3
942,36,1,33087,69,7,21,4,651.8,3
943,54,0,140081,100,1,25,1,30.51,1
944,47,2,37014,76,5,34,1,880.18,0
945,65,1,42779,81,5,38,0,594.92,3
946,59,1,149936,80,7,37,2,406.6,2
947,60,2,111493,40,10,8,2,190.34,1
948,21,2,117520,34,3,32,4,256.98,1
949,62,2,128667,37,5,17,4,150.62,1
950,45,2,114390,38,3,9,2,663.25,0
951,41,2,134487,7,10,50,1,556.1,2
952,29,0,45164,54,8,45,2,915.62,0
953,51,1,104830,43,9,36,4,593.92,2
954,44,1,123822,20,4,8,1,209.75,1
955,30,1,50661,89,9,22,4,630.37,3
956,60,2,48802,68,1,40,2,296.76,3
957,60,0,56429,69,9,32,2,894.95,2
958,26,0,41126,37,9,44,0,100.64,3
959,38,0,99054,59,6,4,2,174.22,1
960,61,0,50349,76,9,42,0,957.5,2
961,23,0,60808,96,2,12,3,231.03,3
962,60,1,98537,71,9,45,2,725.67,2
963,66,0,72885,1,9,33,2,654.48,0
964,26,2,109221,91,2,44,4,660.05,2
965,49,2,94218,4,10,5,1,287.36,1
966,58,2,133888,92,10,14,3,628.3,2
967,46,0,67361,80,6,25,4,350.08,3
968,23,0,74773,16,2,42,2,626.05,0
969,61,2,38209,79,8,40,4,724.23,3
970,68,0,40471,28,3,33,2,40.89,3
971,58,0,51913,14,4,21,3,733.63,0
972,41,1,120294,79,5,44,0,942.03,2
973,43,1,130645,34,10,5,2,833.69,2
974,48,2,75118,84,6,41,1,711.37,2
975,49,0,79546,26,5,12,3,935.73,0
976,30,1,54930,12,9,13,1,724.88,0
977,37,1,100314,71,5,19,2,692.74,2
978,45,0,91381,48,8,16,4,253.13,1
979,66,0,74055,100,6,17,4,318.7,3
980,45,0,135047,11,9,42,0,422.93,1
981,30,1,117373,32,1,49,3,129.35,1
982,59,2,87884,79,9,28,2,491.55,2
983,68,0,117203,76,7,38,1,363.94,2
984,51,2,91682,27,9,49,1,990.87,2
985,35,2,82057,66,4,9,4,683.93,0
986,66,2,78149,2,10,9,3,579.27,0
987,22,1,80049,1,10,47,4,16.97,1
988,26,1,148451,78,5,14,2,99.19,1
989,26,1,45147,93,1,32,3,750.58,3
990,31,2,45695,36,2,31,1,864.67,0
991,21,2,80264,41,4,26,4,458.93,1
992,53,2,83578,97,5,50,4,917.08,2
993,22,0,125479,57,8,27,3,139.75,1
994,29,0,64799,42,5,19,1,967.26,0
995,60,1,71923,25,2,40,0,986.97,0
996,57,1,112170,57,6,1,0,313.64,1
997,23,2,65337,76,10,23,2,632.83,3
998,23,1,113097,40,5,42,4,75.09,1
999,22,0,113695,63,7,44,1,505.16,2
1000,36,0,90420,7,2,31,2,669.26,0
